y_true,y_hat,date
112.0,114.31703,2022-03-01 07:58:17
89.0,70.284935,2022-03-01 08:10:31
128.0,130.577,2022-03-01 08:12:22
115.0,116.31592,2022-03-01 08:15:17
88.0,88.81361,2022-03-01 08:17:34
150.0,157.28185,2022-03-01 08:19:25
107.0,110.37407,2022-03-01 08:22:09
112.0,114.05402,2022-03-01 08:24:18
191.0,186.36798,2022-03-01 08:27:20
78.0,71.58642,2022-03-01 08:30:52
128.0,129.582,2022-03-01 08:32:32
115.0,116.23617,2022-03-01 08:35:28
88.0,88.9531,2022-03-01 08:37:45
82.0,64.14606,2022-03-01 08:39:35
72.0,76.521255,2022-03-01 08:41:04
194.00002,149.23581,2022-03-01 08:59:22
171.0,140.05244,2022-03-01 09:02:57
96.0,91.31746,2022-03-01 09:06:00
132.0,131.19475,2022-03-01 09:07:56
107.0,109.96534,2022-03-01 09:10:32
112.0,113.832756,2022-03-01 09:12:41
182.0,187.10294,2022-03-01 09:15:26
70.0,71.8156,2022-03-01 09:19:17
143.0,128.96585,2022-03-01 09:20:48
117.0,116.250336,2022-03-01 09:23:34
88.0,89.02626,2022-03-01 09:25:53
54.0,64.87917,2022-03-01 09:27:43
73.0,76.23747,2022-03-01 09:28:44
164.0,126.5355,2022-03-01 09:35:21
150.0,140.0929,2022-03-01 10:06:22
82.0,94.04813,2022-03-01 10:08:52
119.0,132.88846,2022-03-01 10:10:14
224.0,109.13745,2022-03-01 10:12:13
112.0,116.1169,2022-03-01 10:16:11
190.0,187.9824,2022-03-01 10:18:33
69.0,71.39504,2022-03-01 10:22:05
129.0,131.55286,2022-03-01 10:24:00
83.0,89.46666,2022-03-01 10:32:04
143.0,155.48184,2022-03-01 10:33:27
162.0,121.83408,2022-03-01 10:40:50
114.0,117.5749,2022-03-01 10:44:18
232.99998,188.52849,2022-03-01 10:46:26
68.0,71.32354,2022-03-01 10:50:27
128.0,131.05096,2022-03-01 10:51:57
115.0,117.55532,2022-03-01 10:54:27
88.0,89.47716,2022-03-01 10:56:36
154.0,154.42711,2022-03-01 10:58:39
112.0,118.5867,2022-03-01 11:28:16
181.0,194.63658,2022-03-01 11:30:38
69.0,71.580795,2022-03-01 11:34:01
128.0,130.07086,2022-03-01 11:35:33
130.0,117.70842,2022-03-01 11:38:03
91.0,89.656746,2022-03-01 11:40:34
135.0,156.28505,2022-03-01 11:42:05
113.0,120.23906,2022-03-01 14:33:45
183.0,192.60336,2022-03-01 14:35:47
70.0,71.719604,2022-03-01 14:39:08
132.0,130.61728,2022-03-01 14:40:32
116.0,119.34887,2022-03-01 14:43:07
88.0,90.39307,2022-03-01 14:45:24
59.0,66.11872,2022-03-01 14:47:14
82.0,78.27545,2022-03-01 14:48:27
117.0,111.45196,2022-03-01 14:50:41
137.0,128.18483,2022-03-01 14:53:00
158.0,155.73663,2022-03-01 14:55:33
188.0,137.49023,2022-03-01 14:58:23
84.0,95.40631,2022-03-01 15:01:45
170.0,136.02823,2022-03-01 15:03:09
123.0,127.18365,2022-03-01 15:10:30
103.0,118.34679,2022-03-01 15:12:54
191.0,188.6795,2022-03-01 15:14:37
71.0,71.7945,2022-03-01 15:18:39
129.0,130.66122,2022-03-01 15:20:12
115.0,118.04693,2022-03-01 15:22:44
87.0,90.23891,2022-03-01 15:25:01
73.0,79.05597,2022-03-01 15:30:48
114.0,113.1228,2022-03-01 15:32:28
142.0,123.023476,2022-03-01 15:34:33
142.0,149.01874,2022-03-01 15:37:21
140.0,139.26593,2022-03-01 15:40:04
87.0,93.67897,2022-03-01 15:43:18
127.0,140.99611,2022-03-01 15:44:45
112.0,115.146904,2022-03-01 17:08:34
184.0,189.26315,2022-03-01 17:10:35
69.0,71.55485,2022-03-01 17:14:02
131.0,129.95642,2022-03-01 17:15:33
88.0,87.66504,2022-03-01 17:20:56
62.0,64.77853,2022-03-01 17:23:09
73.0,76.550674,2022-03-01 17:24:18
105.0,112.0078,2022-03-01 17:25:43
144.0,120.03943,2022-03-01 17:27:51
148.0,139.57893,2022-03-01 17:30:39
139.0,134.68683,2022-03-01 17:35:24
96.0,90.31322,2022-03-01 17:37:57
167.0,135.4566,2022-03-01 17:39:33
112.0,114.91728,2022-03-02 08:09:50
188.0,188.89107,2022-03-02 08:12:05
69.0,70.327324,2022-03-02 08:15:34
130.0,130.49841,2022-03-02 08:17:05
115.0,117.10488,2022-03-02 08:19:38
88.0,89.00865,2022-03-02 08:22:20
105.0,63.846626,2022-03-02 08:24:11
68.0,77.49147,2022-03-02 08:25:56
114.0,109.28439,2022-03-02 08:27:36
128.0,120.215195,2022-03-02 08:29:39
142.0,140.52328,2022-03-02 08:32:12
185.0,130.21387,2022-03-02 08:34:55
75.0,93.15002,2022-03-02 08:38:16
126.0,138.59598,2022-03-02 08:39:31
113.0,115.95986,2022-03-02 08:42:45
112.0,115.59136,2022-03-02 08:45:00
187.0,189.10855,2022-03-02 08:47:14
68.0,70.339096,2022-03-02 08:50:43
130.0,130.61038,2022-03-02 08:52:14
115.0,117.095375,2022-03-02 08:54:47
88.0,89.27936,2022-03-02 08:57:04
58.0,66.28764,2022-03-02 08:58:47
71.0,77.38977,2022-03-02 08:59:45
149.0,109.058624,2022-03-02 09:01:11
148.0,118.49575,2022-03-02 09:04:25
194.00002,135.3205,2022-03-02 09:30:37
77.0,91.77377,2022-03-02 09:34:13
125.0,135.27681,2022-03-02 09:35:30
108.0,110.846214,2022-03-02 09:37:47
112.0,114.81703,2022-03-02 09:40:21
182.0,187.98346,2022-03-02 09:42:36
78.0,70.34293,2022-03-02 09:46:00
133.0,129.95216,2022-03-02 09:47:40
116.0,116.678406,2022-03-02 09:50:15
