y_true,y_hat,date
0.0,0.0,2023-02-15 06:49:12
32.0,19.44004,2023-02-15 06:55:52
25.0,21.860355,2023-02-15 06:58:01
26.0,21.440577,2023-02-15 07:08:13
26.0,23.583796,2023-02-15 07:10:16
25.0,25.181313,2023-02-15 07:20:29
26.0,25.37805,2023-02-15 07:22:31
26.0,24.664682,2023-02-15 07:32:44
25.0,25.921585,2023-02-15 07:34:50
25.0,25.485125,2023-02-15 07:46:47
25.0,26.135735,2023-02-15 07:48:49
25.0,27.684736,2023-02-15 08:31:50
25.0,24.19513,2023-02-15 08:35:00
0.0,0.0,2023-02-15 08:38:36
25.0,26.38855,2023-02-15 08:39:22
25.0,21.72379,2023-02-15 08:41:20
26.0,23.972582,2023-02-15 08:46:50
26.0,27.110003,2023-02-15 08:50:21
26.0,28.217737,2023-02-15 08:52:24
0.0,0.0,2023-02-15 09:06:07
25.0,30.823158,2023-02-15 09:06:52
25.0,24.742956,2023-02-15 09:08:34
26.0,25.061249,2023-02-15 09:14:22
25.0,27.853386,2023-02-15 09:17:54
25.0,29.283539,2023-02-15 09:19:57
0.0,0.0,2023-02-15 10:15:56
25.0,37.180603,2023-02-15 10:16:42
25.0,27.1897,2023-02-15 10:18:25
25.0,25.364626,2023-02-15 10:24:11
25.0,28.644394,2023-02-15 10:27:54
25.0,30.089676,2023-02-15 10:29:57
0.0,0.0,2023-02-15 10:39:48
25.0,37.435135,2023-02-15 10:40:33
24.0,27.189999,2023-02-15 10:42:16
25.0,24.6874,2023-02-15 10:47:55
0.0,0.0,2023-02-15 11:04:03
25.0,37.61478,2023-02-15 11:04:52
45.0,26.87134,2023-02-15 11:06:34
26.0,25.415333,2023-02-15 11:13:02
31.0,29.940098,2023-02-15 11:20:11
25.0,26.327232,2023-02-15 11:23:36
0.0,0.0,2023-02-15 11:28:28
30.0,37.67411,2023-02-15 11:29:13
26.0,31.822878,2023-02-15 11:31:01
35.0,25.322823,2023-02-15 11:37:09
25.0,28.782747,2023-02-15 11:40:50
25.0,31.50848,2023-02-15 11:42:53
36.0,25.987352,2023-02-15 11:46:12
0.0,0.0,2023-02-15 11:52:01
25.0,30.156178,2023-02-15 11:57:15
25.0,27.910347,2023-02-15 12:02:41
25.0,30.128567,2023-02-15 12:18:54
35.0,29.480236,2023-02-15 12:22:58
0.0,0.0,2023-02-15 12:28:07
30.0,39.191116,2023-02-15 12:28:52
25.0,26.531826,2023-02-15 12:30:40
26.0,28.102268,2023-02-15 13:20:42
26.0,27.96212,2023-02-15 13:22:45
25.0,30.21775,2023-02-15 13:25:57
0.0,0.0,2023-02-15 13:29:34
31.0,39.892918,2023-02-15 13:31:07
25.0,26.403656,2023-02-15 13:32:55
0.0,0.0,2023-02-15 15:36:45
25.0,25.31828,2023-02-15 15:42:53
25.0,26.193913,2023-02-15 15:44:55
26.0,19.559046,2023-02-15 15:49:59
25.0,25.674538,2023-02-15 15:58:34
25.0,25.852676,2023-02-15 16:00:37
25.0,25.02363,2023-02-15 16:06:04
26.0,25.433086,2023-02-15 16:14:26
26.0,25.623701,2023-02-15 16:16:29
25.0,26.513868,2023-02-15 16:22:08
25.0,25.069048,2023-02-15 16:36:56
25.0,25.593658,2023-02-15 16:39:00
25.0,26.04614,2023-02-15 16:44:35
47.0,24.766071,2023-02-15 16:54:32
25.0,25.890343,2023-02-15 16:56:57
24.0,25.258522,2023-02-15 17:02:29
25.0,29.094486,2023-02-15 17:09:28
