y_true,y_hat,date
97.0,91.03708,2023-02-15 06:56:24
97.0,91.21888,2023-02-15 07:08:39
97.0,92.43396,2023-02-15 07:20:54
100.0,92.71594,2023-02-15 07:33:10
97.0,93.2899,2023-02-15 07:47:12
98.0,94.11909,2023-02-15 08:30:12
165.0,179.40872,2023-02-15 08:32:15
191.0,234.8942,2023-02-15 08:35:25
46.0,50.07338,2023-02-15 08:38:36
93.0,78.3053,2023-02-15 08:39:47
305.0,294.34604,2023-02-15 08:41:45
185.0,196.71504,2023-02-15 08:47:16
97.0,93.99483,2023-02-15 08:50:47
167.0,178.12411,2023-02-15 08:52:50
191.0,232.12238,2023-02-15 09:02:56
45.0,49.891052,2023-02-15 09:06:07
77.0,79.80519,2023-02-15 09:07:17
323.0,293.45807,2023-02-15 09:08:59
186.0,195.95854,2023-02-15 09:14:48
98.0,94.600464,2023-02-15 09:18:19
166.0,174.62941,2023-02-15 09:20:22
276.0,225.14941,2023-02-15 10:11:20
46.0,47.639946,2023-02-15 10:15:56
78.0,79.09341,2023-02-15 10:17:07
321.0,295.86862,2023-02-15 10:18:50
198.0,189.92555,2023-02-15 10:24:36
98.0,95.362236,2023-02-15 10:28:19
167.0,169.97897,2023-02-15 10:30:22
192.0,239.61911,2023-02-15 10:36:36
45.0,48.238007,2023-02-15 10:39:48
78.0,77.38165,2023-02-15 10:40:58
315.0,298.74457,2023-02-15 10:42:40
49.0,47.7182,2023-02-15 11:04:03
77.0,77.24743,2023-02-15 11:05:17
343.0,296.00696,2023-02-15 11:07:19
185.0,189.47188,2023-02-15 11:13:28
102.0,95.577805,2023-02-15 11:18:29
174.0,167.5696,2023-02-15 11:20:42
267.0,240.25064,2023-02-15 11:24:01
45.0,47.077385,2023-02-15 11:28:28
78.0,77.002304,2023-02-15 11:29:43
342.0,299.48172,2023-02-15 11:31:27
186.0,188.74988,2023-02-15 11:37:44
98.0,95.63818,2023-02-15 11:41:15
174.0,168.50896,2023-02-15 11:43:18
313.0,235.93004,2023-02-15 11:46:48
48.0,46.28064,2023-02-15 11:52:01
80.0,76.597336,2023-02-15 11:55:55
301.0,305.298,2023-02-15 11:57:40
225.0,185.36871,2023-02-15 12:03:06
98.0,95.438614,2023-02-15 12:17:16
274.0,261.06924,2023-02-15 12:23:33
45.0,45.864983,2023-02-15 12:28:07
78.0,76.71771,2023-02-15 12:29:22
370.0,297.2515,2023-02-15 12:31:05
183.0,191.42004,2023-02-15 13:17:39
97.0,95.07006,2023-02-15 13:21:08
166.0,169.8671,2023-02-15 13:23:11
192.0,265.17783,2023-02-15 13:26:22
77.0,75.63002,2023-02-15 13:31:38
285.0,303.8522,2023-02-15 13:33:20
97.0,97.14742,2023-02-15 15:43:18
279.0,323.0945,2023-02-15 15:45:20
98.0,97.31099,2023-02-15 15:58:59
302.0,308.2535,2023-02-15 16:01:02
97.0,97.58102,2023-02-15 16:14:52
313.0,306.4253,2023-02-15 16:16:55
99.0,98.020294,2023-02-15 16:37:21
310.0,315.28745,2023-02-15 16:39:25
98.0,98.23093,2023-02-15 16:55:19
307.0,318.34998,2023-02-15 16:57:22
395.0,347.88684,2023-02-15 17:02:53
98.0,98.27971,2023-02-15 17:09:53
36.0,46.017754,2023-02-15 17:19:20
99.0,96.12294,2023-02-16 07:52:02
97.0,98.20714,2023-02-16 08:31:39
99.0,98.53702,2023-02-16 08:45:35
101.0,100.5088,2023-02-16 09:34:54
167.0,181.20032,2023-02-16 09:37:00
190.0,254.1803,2023-02-16 09:41:09
45.0,48.52037,2023-02-16 09:44:19
77.0,79.63539,2023-02-16 09:45:30
284.0,301.35507,2023-02-16 09:47:12
186.0,202.63496,2023-02-16 09:52:21
97.0,101.113266,2023-02-16 09:55:52
165.0,178.52637,2023-02-16 09:57:55
196.0,233.34912,2023-02-16 10:01:05
45.0,48.07402,2023-02-16 10:04:21
77.0,79.17118,2023-02-16 10:05:30
338.0,281.98804,2023-02-16 10:07:12
184.0,194.47675,2023-02-16 10:13:16
97.0,100.80923,2023-02-16 10:16:51
165.0,176.25604,2023-02-16 10:18:53
226.0,233.28473,2023-02-16 10:22:04
45.0,48.447674,2023-02-16 10:25:50
77.0,78.80838,2023-02-16 10:29:41
300.0,291.43723,2023-02-16 10:31:23
185.0,192.18112,2023-02-16 10:36:48
98.0,100.44026,2023-02-16 10:40:18
166.0,174.94414,2023-02-16 10:43:39
198.0,238.9571,2023-02-16 10:46:50
45.0,47.734673,2023-02-16 10:50:08
77.0,76.915695,2023-02-16 11:08:05
373.0,296.97067,2023-02-16 11:09:47
186.0,189.9084,2023-02-16 11:16:25
97.0,99.34262,2023-02-16 11:25:26
166.0,172.72981,2023-02-16 11:27:28
239.0,239.54816,2023-02-16 11:30:40
85.0,45.958107,2023-02-16 11:34:39
78.0,76.26491,2023-02-16 11:40:55
97.0,100.03222,2023-02-16 12:11:37
98.0,99.56884,2023-02-16 12:30:06
98.0,99.46848,2023-02-16 12:48:43
98.0,99.138885,2023-02-16 13:03:59
98.0,98.85007,2023-02-16 13:17:12
97.0,98.85007,2023-02-16 13:29:27
98.0,98.36061,2023-02-16 13:41:41
97.0,97.948906,2023-02-16 13:53:46
98.0,97.339325,2023-02-16 14:05:49
98.0,96.84805,2023-02-16 14:17:53
99.0,96.53108,2023-02-16 14:30:53
100.0,96.66353,2023-02-16 14:44:58
98.0,96.623474,2023-02-16 14:57:11
316.0,314.1736,2023-02-16 15:25:29
281.0,316.11694,2023-02-16 15:41:24
352.0,342.2388,2023-02-16 15:46:30
98.0,95.551575,2023-02-16 15:52:48
390.0,312.50504,2023-02-16 15:54:51
355.0,325.46692,2023-02-16 16:13:03
393.0,346.20554,2023-02-16 16:19:23
99.0,95.254944,2023-02-16 16:26:21
301.0,345.71497,2023-02-16 16:28:25
