y_true,y_hat,date
15.000001,11.496338,2022-03-01 08:46:39
0.0,9.775331,2022-03-01 08:48:11
20.0,6.7919927,2022-03-01 08:49:14
4.0,0.0,2022-03-01 08:51:21
0.0,0.0,2022-03-01 08:53:45
0.0,8.985818,2022-03-01 08:54:38
0.0,0.0,2022-03-01 08:55:25
3.0,12.014425,2022-03-01 08:57:38
19.0,9.789407,2022-03-01 08:58:58
0.0,0.0,2022-03-01 09:00:16
0.0,0.0,2022-03-01 09:01:43
0.0,0.0,2022-03-01 09:03:59
0.0,9.181258,2022-03-01 09:04:51
0.0,0.0,2022-03-01 09:05:38
10.0,12.08317,2022-03-01 09:07:52
0.0,11.07411,2022-03-01 09:09:17
0.0,7.8603716,2022-03-01 09:10:16
0.0,0.0,2022-03-01 09:11:53
34.0,12.8585,2022-03-01 09:14:27
0.0,10.1027155,2022-03-01 09:15:57
0.0,0.0,2022-03-01 09:16:44
13.0,12.479847,2022-03-01 09:18:53
0.0,0.0,2022-03-01 09:20:31
0.0,0.0,2022-03-01 09:21:30
11.0,16.273756,2022-03-01 09:23:10
0.0,0.0,2022-03-01 09:25:31
45.0,0.0,2022-03-01 09:26:25
0.0,0.0,2022-03-01 09:28:49
0.0,14.144027,2022-03-01 09:56:15
4.0,12.5398245,2022-03-01 09:57:02
0.0,7.820635,2022-03-01 09:57:56
13.0,13.721009,2022-03-01 10:00:07
0.0,0.0,2022-03-01 10:01:33
0.0,0.0,2022-03-01 10:02:36
0.0,0.0,2022-03-01 10:04:15
0.0,0.0,2022-03-01 10:06:26
0.0,10.60962,2022-03-01 10:07:29
2.0,8.107154,2022-03-01 10:08:15
3.0,13.832729,2022-03-01 10:10:40
0.0,0.0,2022-03-01 10:11:55
0.0,0.0,2022-03-01 10:13:02
0.0,0.0,2022-03-01 10:14:42
0.0,0.0,2022-03-01 10:17:00
0.0,10.074494,2022-03-01 10:17:52
0.0,0.0,2022-03-01 10:18:51
0.0,13.289522,2022-03-01 10:21:16
0.0,0.0,2022-03-01 10:22:25
0.0,0.0,2022-03-01 10:23:27
26.0,18.39261,2022-03-01 10:25:18
4.0,14.327365,2022-03-01 10:28:15
0.0,10.124605,2022-03-01 10:29:09
7.0,8.467695,2022-03-01 10:30:00
28.0,13.070946,2022-03-01 10:32:30
19.0,12.289224,2022-03-01 10:34:24
6.0,0.0,2022-03-01 10:36:03
0.0,0.0,2022-03-01 10:38:02
0.0,0.0,2022-03-01 10:40:08
0.0,0.0,2022-03-01 10:40:59
3.0,0.0,2022-03-01 10:41:49
4.0,9.91142,2022-03-01 10:50:24
0.0,15.011268,2022-03-01 11:01:28
0.0,0.0,2022-03-01 11:02:50
0.0,9.646951,2022-03-01 11:03:58
9.0,19.883518,2022-03-01 11:05:48
0.0,0.0,2022-03-01 11:08:04
13.0,10.729084,2022-03-01 11:08:59
0.0,0.0,2022-03-01 11:10:01
0.0,14.118629,2022-03-01 11:12:22
0.0,0.0,2022-03-01 11:13:45
4.0,0.0,2022-03-01 11:14:41
8.0,0.0,2022-03-01 11:16:29
0.0,0.0,2022-03-01 11:19:18
0.0,0.0,2022-03-01 11:20:10
0.0,0.0,2022-03-01 11:20:57
2.0,13.368807,2022-03-01 11:23:15
0.0,12.857624,2022-03-01 11:24:41
4.0,9.751285,2022-03-01 11:25:42
22.0,0.0,2022-03-01 11:27:13
1.0,14.587461,2022-03-01 11:31:07
0.0,0.0,2022-03-01 11:32:04
0.0,0.0,2022-03-01 11:32:52
9.0,13.43855,2022-03-01 11:35:08
10.0,13.148234,2022-03-01 11:36:30
2.0,10.273304,2022-03-01 11:37:40
21.0,21.983803,2022-03-01 11:40:08
0.0,14.561624,2022-03-01 11:43:12
35.0,0.0,2022-03-01 11:44:05
0.0,0.0,2022-03-01 11:45:31
20.0,13.768454,2022-03-01 11:47:58
8.0,13.980866,2022-03-01 11:49:38
11.0,10.19212,2022-03-01 11:51:07
6.0,0.0,2022-03-01 11:53:32
0.0,0.0,2022-03-01 11:55:55
0.0,0.0,2022-03-01 11:56:50
0.0,0.0,2022-03-01 11:57:37
25.0,15.074907,2022-03-01 12:00:20
0.0,0.0,2022-03-01 12:01:56
0.0,0.0,2022-03-01 12:02:59
17.0,21.873146,2022-03-01 12:04:36
0.0,14.553968,2022-03-01 12:07:12
0.0,11.963512,2022-03-01 12:08:18
0.0,0.0,2022-03-01 12:09:04
15.000001,15.788439,2022-03-01 12:11:31
0.0,0.0,2022-03-01 12:12:56
0.0,0.0,2022-03-01 12:13:57
17.0,22.578941,2022-03-01 12:16:16
0.0,0.0,2022-03-01 12:19:14
12.0,0.0,2022-03-01 12:20:11
0.0,0.0,2022-03-01 12:21:14
14.0,15.316955,2022-03-01 12:23:28
0.0,0.0,2022-03-01 12:24:53
0.0,0.0,2022-03-01 12:25:56
40.0,22.740503,2022-03-01 12:27:56
0.0,15.140964,2022-03-01 13:39:36
0.0,0.0,2022-03-01 13:40:39
0.0,0.0,2022-03-01 13:41:28
3.0,15.14608,2022-03-01 13:43:41
5.0,14.693883,2022-03-01 13:45:04
37.0,11.335279,2022-03-01 13:46:08
27.0,25.190931,2022-03-01 13:48:41
0.0,0.0,2022-03-01 13:51:14
13.0,11.387909,2022-03-01 13:52:13
18.0,10.070709,2022-03-01 13:53:20
21.0,14.791215,2022-03-01 13:56:00
11.0,15.051511,2022-03-01 13:57:55
18.0,13.424578,2022-03-01 13:59:08
24.0,24.932428,2022-03-01 14:01:06
0.0,0.0,2022-03-01 14:03:37
0.0,11.591116,2022-03-01 14:04:30
0.0,0.0,2022-03-01 14:05:22
22.0,14.932372,2022-03-01 14:07:37
3.0,15.7125,2022-03-01 14:09:22
0.0,14.150353,2022-03-01 14:10:21
17.0,24.195509,2022-03-01 14:12:09
0.0,0.0,2022-03-01 14:14:44
4.0,11.298741,2022-03-01 14:15:39
0.0,0.0,2022-03-01 14:16:37
14.0,15.655726,2022-03-01 14:18:59
12.0,0.0,2022-03-01 14:20:40
27.0,12.490285,2022-03-01 14:21:55
26.0,23.5988,2022-03-01 14:24:04
3.0,14.647341,2022-03-01 14:27:13
0.0,0.0,2022-03-01 14:28:11
0.0,0.0,2022-03-01 14:28:56
17.0,15.2275305,2022-03-01 14:31:13
0.0,0.0,2022-03-01 14:32:52
0.0,0.0,2022-03-01 14:33:40
10.0,15.080224,2022-03-01 14:50:29
17.0,15.21636,2022-03-01 14:51:56
23.0,24.399607,2022-03-01 14:55:16
0.0,0.0,2022-03-01 14:57:57
0.0,0.0,2022-03-01 14:59:13
0.0,0.0,2022-03-01 15:00:05
7.0,14.467094,2022-03-01 15:02:16
0.0,0.0,2022-03-01 15:03:35
20.0,12.456285,2022-03-01 15:04:40
22.0,23.63726,2022-03-01 15:06:57
0.0,0.0,2022-03-01 15:09:29
0.0,0.0,2022-03-01 15:10:36
5.0,0.0,2022-03-01 15:11:27
13.0,14.167888,2022-03-01 15:13:38
31.0,15.123417,2022-03-01 15:15:18
12.0,12.968453,2022-03-01 15:17:00
36.0,23.746347,2022-03-01 15:19:09
0.0,0.0,2022-03-01 15:21:54
20.0,0.0,2022-03-01 15:23:13
6.0,0.0,2022-03-01 15:24:27
36.0,14.315313,2022-03-01 15:26:58
0.0,0.0,2022-03-01 15:28:28
0.0,12.3781,2022-03-02 08:37:23
0.0,0.0,2022-03-02 08:38:10
11.0,0.0,2022-03-02 08:38:47
15.000001,13.181334,2022-03-02 08:41:07
0.0,0.0,2022-03-02 08:42:37
9.0,7.227364,2022-03-02 08:43:49
10.0,18.586298,2022-03-02 08:45:45
8.0,0.0,2022-03-02 08:48:29
3.0,10.427716,2022-03-02 08:49:48
5.0,0.0,2022-03-02 08:50:41
3.0,11.919801,2022-03-02 08:53:10
0.0,0.0,2022-03-02 08:54:19
1.0,7.144992,2022-03-02 08:55:22
3.0,0.0,2022-03-02 08:55:26
0.0,10.010703,2022-03-02 08:56:36
0.0,0.0,2022-03-02 08:56:56
16.0,8.836375,2022-03-02 08:58:07
0.0,0.0,2022-03-02 08:59:15
0.0,10.933163,2022-03-02 09:00:07
3.0,17.920193,2022-03-02 09:00:20
21.0,13.087697,2022-03-02 09:02:50
13.0,12.344985,2022-03-02 09:04:21
35.0,10.56182,2022-03-02 09:05:24
2.0,12.437681,2022-03-02 09:07:33
14.0,14.656242,2022-03-02 09:08:08
0.0,0.0,2022-03-02 09:08:47
27.0,10.77421,2022-03-02 09:09:26
0.0,0.0,2022-03-02 09:09:53
13.0,10.045557,2022-03-02 09:10:46
0.0,0.0,2022-03-02 09:11:31
38.0,17.873335,2022-03-02 09:12:36
0.0,0.0,2022-03-02 09:13:48
