y_true,y_hat,date
77.0,77.036026,2022-03-01 08:46:54
63.0,63.39922,2022-03-01 08:48:11
107.0,112.09945,2022-03-01 08:49:34
140.0,142.38054,2022-03-01 08:51:25
53.0,61.39882,2022-03-01 08:53:45
47.0,52.95854,2022-03-01 08:54:38
133.0,134.36703,2022-03-01 08:55:25
77.0,75.44069,2022-03-01 08:57:41
59.0,64.30686,2022-03-01 08:59:17
87.0,110.83508,2022-03-01 09:00:16
136.0,143.5014,2022-03-01 09:01:43
52.0,60.55509,2022-03-01 09:03:59
47.0,52.826767,2022-03-01 09:04:51
134.0,134.51111,2022-03-01 09:05:38
75.0,79.21873,2022-03-01 09:08:02
59.0,66.10678,2022-03-01 09:09:17
97.0,108.04363,2022-03-01 09:10:16
154.0,141.9925,2022-03-01 09:11:53
56.0,61.22018,2022-03-01 09:15:01
47.0,54.326565,2022-03-01 09:15:57
129.0,139.70204,2022-03-01 09:16:44
85.0,78.86586,2022-03-01 09:19:06
59.0,65.53392,2022-03-01 09:20:31
100.0,105.28677,2022-03-01 09:21:30
130.0,143.80556,2022-03-01 09:23:21
54.0,61.454437,2022-03-01 09:25:31
47.0,61.628963,2022-03-01 09:56:15
50.0,53.87833,2022-03-01 09:57:06
131.0,138.28893,2022-03-01 09:57:56
73.0,79.90782,2022-03-01 10:00:20
63.0,65.4373,2022-03-01 10:01:33
99.0,107.03832,2022-03-01 10:02:36
131.0,143.14175,2022-03-01 10:04:15
63.0,60.735878,2022-03-01 10:06:26
46.0,55.238014,2022-03-01 10:07:29
143.0,137.37973,2022-03-01 10:08:17
72.0,80.55147,2022-03-01 10:10:43
67.0,65.53462,2022-03-01 10:11:55
100.0,107.910484,2022-03-01 10:13:02
138.0,138.76694,2022-03-01 10:14:42
52.0,61.83307,2022-03-01 10:17:00
59.0,55.339725,2022-03-01 10:17:52
145.0,139.7392,2022-03-01 10:18:51
69.0,79.27905,2022-03-01 10:21:16
62.0,66.21406,2022-03-01 10:22:25
111.0,107.78551,2022-03-01 10:23:27
151.0,140.03207,2022-03-01 10:25:44
50.0,63.00629,2022-03-01 10:28:19
51.0,55.60651,2022-03-01 10:29:09
143.0,141.8675,2022-03-01 10:30:07
86.0,78.96995,2022-03-01 10:32:58
80.0,66.50148,2022-03-01 10:34:43
113.0,110.47063,2022-03-01 10:36:09
126.0,143.70541,2022-03-01 10:38:02
51.0,61.139694,2022-03-01 10:40:08
50.0,56.109364,2022-03-01 10:40:59
82.0,80.76465,2022-03-01 11:01:28
68.0,68.54002,2022-03-01 11:02:50
110.0,113.67889,2022-03-01 11:03:58
127.0,142.11261,2022-03-01 11:05:57
55.0,60.93259,2022-03-01 11:08:04
49.0,56.331318,2022-03-01 11:09:12
141.0,141.02533,2022-03-01 11:10:01
83.0,82.55702,2022-03-01 11:12:22
56.0,69.154526,2022-03-01 11:13:45
104.0,112.35247,2022-03-01 11:14:45
161.0,136.76288,2022-03-01 11:16:37
52.0,62.431324,2022-03-01 11:19:18
47.0,56.265896,2022-03-01 11:20:10
138.0,139.86317,2022-03-01 11:20:57
84.0,81.85567,2022-03-01 11:23:17
61.0,66.94809,2022-03-01 11:24:41
87.0,110.736984,2022-03-01 11:25:46
56.0,62.587,2022-03-01 11:31:08
48.0,56.16294,2022-03-01 11:32:04
136.0,139.02173,2022-03-01 11:32:52
73.0,81.811455,2022-03-01 11:35:17
60.0,66.1236,2022-03-01 11:36:40
146.0,107.052345,2022-03-01 11:37:42
163.0,141.45683,2022-03-01 11:40:29
53.0,63.515766,2022-03-01 11:43:12
51.0,56.100277,2022-03-01 11:44:40
147.0,138.44461,2022-03-01 11:45:31
80.0,81.13133,2022-03-01 11:48:18
134.0,113.460724,2022-03-01 11:51:18
137.0,150.90573,2022-03-01 11:53:38
55.0,63.100433,2022-03-01 11:55:55
47.0,56.584976,2022-03-01 11:56:50
163.0,139.8325,2022-03-01 11:57:37
71.0,81.70433,2022-03-01 12:00:45
63.0,67.269554,2022-03-01 12:01:56
97.0,123.656136,2022-03-01 12:02:59
139.0,145.7964,2022-03-01 12:04:53
66.0,63.547947,2022-03-01 12:07:12
46.0,58.126247,2022-03-01 12:08:18
147.0,144.68834,2022-03-01 12:09:04
70.0,81.60324,2022-03-01 12:11:46
61.0,67.30437,2022-03-01 12:12:56
139.0,115.86124,2022-03-01 12:13:57
161.0,140.923,2022-03-01 12:16:33
57.0,65.79987,2022-03-01 12:19:14
51.0,57.79051,2022-03-01 12:20:23
134.0,145.6813,2022-03-01 12:21:14
71.0,79.210236,2022-03-01 12:23:42
63.0,67.250114,2022-03-01 12:24:53
120.00001,115.8127,2022-03-01 12:25:56
63.0,65.80445,2022-03-01 13:39:36
49.0,58.144165,2022-03-01 13:40:39
133.0,140.55649,2022-03-01 13:41:28
80.0,77.70006,2022-03-01 13:43:44
59.0,65.39125,2022-03-01 13:45:09
116.0,120.26879,2022-03-01 13:46:45
126.0,144.77199,2022-03-01 13:49:08
59.0,64.61471,2022-03-01 13:51:14
54.0,58.385517,2022-03-01 13:52:26
142.0,138.24878,2022-03-01 13:53:38
94.0,78.9727,2022-03-01 13:56:21
62.0,65.70459,2022-03-01 13:58:06
100.0,116.37285,2022-03-01 13:59:26
127.0,142.07349,2022-03-01 14:01:30
53.0,64.05703,2022-03-01 14:03:37
52.0,58.202847,2022-03-01 14:04:30
135.0,139.55264,2022-03-01 14:05:22
83.0,81.450066,2022-03-01 14:07:59
56.0,64.92483,2022-03-01 14:09:25
108.0,112.797386,2022-03-01 14:10:21
138.0,135.67772,2022-03-01 14:12:26
55.0,63.31722,2022-03-01 14:14:44
54.0,58.38251,2022-03-01 14:15:43
142.0,139.89163,2022-03-01 14:16:37
87.0,81.76762,2022-03-01 14:19:13
63.0,64.29939,2022-03-01 14:20:52
102.0,111.369064,2022-03-01 14:22:22
163.0,137.61308,2022-03-01 14:24:30
55.0,63.979248,2022-03-01 14:27:16
45.0,58.43426,2022-03-01 14:28:11
137.0,139.35252,2022-03-01 14:28:56
82.0,80.26149,2022-03-01 14:31:30
48.0,64.53176,2022-03-01 14:32:52
77.0,79.62897,2022-03-01 14:50:39
138.0,143.50153,2022-03-01 14:55:39
76.0,63.69702,2022-03-01 14:57:57
52.0,58.536358,2022-03-01 14:59:13
131.0,139.04272,2022-03-01 15:00:05
72.0,77.03017,2022-03-01 15:02:23
65.0,62.564842,2022-03-01 15:03:35
117.0,111.33719,2022-03-01 15:05:00
130.0,144.28256,2022-03-01 15:07:19
67.0,64.729416,2022-03-01 15:09:29
51.0,57.714535,2022-03-01 15:10:36
126.0,137.40753,2022-03-01 15:11:32
87.0,75.50406,2022-03-01 15:13:51
71.0,63.792236,2022-03-01 15:15:49
117.0,113.721146,2022-03-01 15:17:12
129.0,139.18994,2022-03-01 15:19:45
79.0,65.724014,2022-03-01 15:21:54
54.0,58.157436,2022-03-01 15:23:33
